spieler_id;Wettbewerb_id;Saison;Wettbewerb;Verein;Einsätze;Tore;Torvorlagen;Spiele ohne Gegentor;Eingesetzte Minuten
43824;1;'24/25';Bundesliga;1.FC Heidenheim 1846;16;-;null;5;1440
43824;1;'23/24';Bundesliga;1.FC Heidenheim 1846;34;-;null;6;3060
43824;1;'22/23';2. Bundesliga;1.FC Heidenheim 1846;34;-;null;15;3060
43824;1;'21/22';2. Bundesliga;1.FC Heidenheim 1846;34;-;null;8;3060
43824;1;'20/21';2. Bundesliga;1.FC Heidenheim 1846;33;-;null;10;2970
43824;1;'19/20';Relegation Bundesliga;1.FC Heidenheim 1846;2;-;null;1;180
43824;1;'19/20';2. Bundesliga;1.FC Heidenheim 1846;33;-;null;15;2970
43824;1;'18/19';2. Bundesliga;1.FC Heidenheim 1846;33;-;null;7;2970
43824;1;'17/18';2. Bundesliga;1.FC Heidenheim 1846;31;-;null;4;2790
43824;1;'16/17';2. Bundesliga;1.FC Heidenheim 1846;34;-;null;14;3008
43824;1;'15/16';2. Bundesliga;1.FC Heidenheim 1846;4;-;null;1;360
43824;1;'14/15';3. Liga;FC Energie Cottbus;37;-;null;13;3330
43824;1;'14/15';3. Liga;VfB Stuttgart II;-;-;null;-;-
43824;1;'13/14';3. Liga;VfB Stuttgart II;15;-;null;2;1350
43824;1;'13/14';Bundesliga; ;-;-;null;-;-
43824;1;'12/13';3. Liga; ;28;-;null;7;2475
43824;1;'11/12';2. Bundesliga; ;27;-;null;7;2430
43824;1;'11/12';NOFV-Oberliga Nord;FC Hansa Rostock II;1;-;null;1;90
43824;1;'10/11';3. Liga; ;9;-;null;1;810
43824;1;'10/11';NOFV-Oberliga Nord;FC Hansa Rostock II;4;-;null;2;360
43824;1;'09/10';U19-Bundesliga Endrunde;FC Hansa Rostock U19;3;-;null;2;270
43824;1;'09/10';U19-BL N/NO;FC Hansa Rostock U19;24;-;null;12;2073
43824;1;'08/09';U19-BL N/NO;FC Hansa Rostock U19;24;-;null;11;2160
43824;1;'07/08';U17-BL N/NO;FC Hansa Rostock U17;24;-;null;6;2160
