Vereinsname;Spieler_id;Name;Geburtsdatum;Alter;Geburtsort;Staatsbuergerschaft;Groesse in M;Position;Fuss
1.FC Heidenheim 1846;43824;Kevin Muller;15.03.1991;33;Rostock;Deutschland;1.9;Torwart;rechts
1.FC Heidenheim 1846;806948;Frank Feller;07.01.2004;21;Leonberg;Deutschland;1.83;Torwart;rechts
1.FC Heidenheim 1846;57796;Vitus Eicher;05.11.1990;34;Erding;Deutschland;1.91;Torwart;links
1.FC Heidenheim 1846;519035;Paul Tschernuth;20.01.2002;22;Salzburg;Oesterreich;1.86;Torwart;links
1.FC Heidenheim 1846;227084;Benedikt Gimber;19.02.1997;27;Buchen;Deutschland;1.87;Abwehr - Innenverteidiger;links
1.FC Heidenheim 1846;133731;Patrick Mainka;06.11.1994;30;Guetersloh;Deutschland;1.94;Abwehr - Innenverteidiger;rechts
1.FC Heidenheim 1846;337092;Tim Siersleben;09.03.2000;24;Magdeburg;Deutschland;1.87;Abwehr - Innenverteidiger;links
1.FC Heidenheim 1846;485747;Thomas Keller;05.08.1999;25;Muenchen;Deutschland;1.86;Abwehr - Innenverteidiger;rechts
1.FC Heidenheim 1846;192169;Jonas Fohrenbach;26.01.1996;28;Freiburg im Breisgau;Deutschland;1.84;Abwehr - Linker Verteidiger;links
1.FC Heidenheim 1846;604320;Frans Kratzig;14.01.2003;21;Nuernberg;Deutschland;1.77;Abwehr - Linker Verteidiger;links
1.FC Heidenheim 1846;388294;Omar Traore;04.02.1998;26;Osnabrueck;Deutschland/Togo;1.87;Abwehr - Rechter Verteidiger;rechts
1.FC Heidenheim 1846;117478;Marnon Busch;08.12.1994;30;Stade;Deutschland;1.82;Abwehr - Rechter Verteidiger;rechts
1.FC Heidenheim 1846;392710;Lennard Maloney;08.10.1999;25;Berlin;Vereinigte Staaten/Deutschland;1.88;Mittelfeld - Defensives Mittelfeld;rechts
1.FC Heidenheim 1846;251302;Niklas Dorsch;15.01.1998;26;Lichtenfels;Deutschland;1.78;Mittelfeld - Defensives Mittelfeld;rechts
1.FC Heidenheim 1846;530173;Julian Niehues;17.04.2001;23;Muenster;Deutschland;1.95;Mittelfeld - Defensives Mittelfeld;rechts
1.FC Heidenheim 1846;825971;Luka Janes;19.01.2004;20;Schwaebisch Gmuend;Deutschland/Kroatien;1.83;Mittelfeld - Defensives Mittelfeld;rechts
1.FC Heidenheim 1846;31599;Norman Theuerkauf;24.01.1987;37;Nordhausen;Deutschland;1.83;Mittelfeld - Defensives Mittelfeld;links
1.FC Heidenheim 1846;581357;Jan Schoppner;12.06.1999;25;Homberg (Efze);Deutschland;1.9;Mittelfeld - Zentrales Mittelfeld;rechts
1.FC Heidenheim 1846;809498;Luca Kerber;10.03.2002;22;Dillingen (Saar);Deutschland;1.84;Mittelfeld - Zentrales Mittelfeld;rechts
1.FC Heidenheim 1846;900909;Paul Wanner;23.12.2005;19;Dornbirn;Deutschland/Oesterreich;1.85;Mittelfeld - Offensives Mittelfeld;links
1.FC Heidenheim 1846;273669;Adrian Beck;09.06.1997;27;Crailsheim;Deutschland;1.86;Mittelfeld - Offensives Mittelfeld;rechts
1.FC Heidenheim 1846;94030;Denis Thomalla;16.08.1992;32;Pforzheim;Deutschland;1.86;Mittelfeld - Offensives Mittelfeld;rechts
1.FC Heidenheim 1846;804219;Leo Scienza;13.09.1998;26;Venâncio Aires;Brasilien/Luxemburg;1.75;Sturm - Linksaussen;beidfuessig
1.FC Heidenheim 1846;283497;Mathias Honsak;20.12.1996;28;Wien;Oesterreich;1.88;Sturm - Linksaussen;links
1.FC Heidenheim 1846;307183;Sirlord Conteh;09.07.1996;28;Hamburg;Deutschland/Ghana;1.78;Sturm - Rechtsaussen;rechts
1.FC Heidenheim 1846;471055;Marvin Pieringer;04.10.1999;25;Bad Urach;Deutschland;1.91;Sturm - Mittelstuermer;rechts
1.FC Heidenheim 1846;584254;Maximilian Breunig;14.08.2000;24;Wuerzburg;Deutschland;1.95;Sturm - Mittelstuermer;links
1.FC Heidenheim 1846;545332;Mikkel Kaufmann;03.01.2001;24;Hjørring;Daenemark;1.89;Sturm - Mittelstuermer;rechts
1.FC Heidenheim 1846;187097;Budu Zivzivadze;10.03.1994;30;Kutaisi;Georgien;1.89;Sturm - Mittelstuermer;beidfuessig
1.FC Heidenheim 1846;394033;Stefan Schimmer;28.04.1994;30;Wertingen;Deutschland;1.85;Sturm - Mittelstuermer;rechts
1.FC Union Berlin;107775;Frederik Ronnow;04.08.1992;32;Horsens;Daenemark;1.88;Torwart;rechts
1.FC Union Berlin;93763;Alexander Schwolow;02.06.1992;32;Wiesbaden;Deutschland;1.9;Torwart;rechts
1.FC Union Berlin;161057;Carl Klaus;16.01.1994;30;Stuttgart;Deutschland;1.89;Torwart;rechts
1.FC Union Berlin;698840;Yannic Stein;17.09.2004;20;Berlin;Deutschland;1.9;Torwart;null
1.FC Union Berlin;357156;Diogo Leite;23.01.1999;25;Porto;Portugal;1.9;Abwehr - Innenverteidiger;links
1.FC Union Berlin;387047;Danilho Doekhi;30.06.1998;26;Rotterdam;Niederlande/Suriname;1.9;Abwehr - Innenverteidiger;rechts
1.FC Union Berlin;597432;Leopold Querfeld;20.12.2003;21;Wien;Oesterreich;1.9;Abwehr - Innenverteidiger;rechts
1.FC Union Berlin;84435;Kevin Vogt;23.09.1991;33;Witten;Deutschland;1.94;Abwehr - Innenverteidiger;rechts
1.FC Union Berlin;127076;Jerome Roussillon;06.01.1993;32;Sarcelles;Guadeloupe/Frankreich;1.72;Abwehr - Linker Verteidiger;links
1.FC Union Berlin;362977;Josip Juranovic;16.08.1995;29;Zagreb;Kroatien;1.73;Abwehr - Rechter Verteidiger;rechts
1.FC Union Berlin;75921;Christopher Trimmel;24.02.1987;37;Oberpullendorf;Oesterreich;1.89;Abwehr - Rechter Verteidiger;rechts
1.FC Union Berlin;692737;Aljoscha Kemlein;02.08.2004;20;Berlin;Deutschland;1.85;Mittelfeld - Defensives Mittelfeld;rechts
1.FC Union Berlin;353948;Lucas Tousart;29.04.1997;27;Arras;Frankreich;1.84;Mittelfeld - Defensives Mittelfeld;rechts
1.FC Union Berlin;124410;Rani Khedira;27.01.1994;30;Stuttgart;Deutschland/Tunesien;1.89;Mittelfeld - Defensives Mittelfeld;rechts
1.FC Union Berlin;454863;Andras Schafer;13.04.1999;25;Szombathely;Ungarn;1.78;Mittelfeld - Zentrales Mittelfeld;rechts
1.FC Union Berlin;243188;Laszlo Benes;09.09.1997;27;Dunajská Streda;Slowakei;1.81;Mittelfeld - Zentrales Mittelfeld;links
1.FC Union Berlin;177779;Janik Haberer;02.04.1994;30;Wangen im Allgaeu;Deutschland;1.86;Mittelfeld - Zentrales Mittelfeld;rechts
1.FC Union Berlin;798043;Tom Rothe;29.10.2004;20;Rendsburg;Deutschland;1.93;Mittelfeld - Linkes Mittelfeld;links
1.FC Union Berlin;270393;Robert Skov;20.05.1996;28;Marbella;Daenemark;1.85;Mittelfeld - Linkes Mittelfeld;links
1.FC Union Berlin;297583;Woo Yeong Jeong;20.09.1999;25;Yeonsu-gu, Incheon;Suedkorea;1.79;Mittelfeld - Offensives Mittelfeld;rechts
1.FC Union Berlin;745075;David Preu;26.10.2004;20;Muenchen;Deutschland;1.72;Sturm - Linksaussen;rechts
1.FC Union Berlin;287920;Tim Skarke;07.09.1996;28;Heidenheim an der Brenz;Deutschland;1.81;Sturm - Rechtsaussen;rechts
1.FC Union Berlin;409517;Yorbe Vertessen;08.01.2001;24;Tienen;Belgien;1.74;Sturm - Mittelstuermer;rechts
1.FC Union Berlin;453870;Benedict Hollerbach;17.05.2001;23;Starnberg;Deutschland;1.81;Sturm - Mittelstuermer;rechts
1.FC Union Berlin;355369;Jordan;26.04.1996;28;Washington, D. C.;Vereinigte Staaten/Frankreich;1.91;Sturm - Mittelstuermer;rechts
1.FC Union Berlin;82009;Kevin Volland;30.07.1992;32;Marktoberdorf;Deutschland;1.79;Sturm - Mittelstuermer;links
1.FC Union Berlin;583699;Andrej Ilic;03.04.2000;24;Belgrade;Serbien;1.89;Sturm - Mittelstuermer;rechts
1.FC Union Berlin;340700;Ivan Prtajin;14.05.1996;28;Zadar;Kroatien;1.89;Sturm - Mittelstuermer;rechts
1.FSV Mainz 05;160963;Robin Zentner;28.10.1994;30;Ruedesheim am Rhein;Deutschland;1.95;Torwart;rechts
1.FSV Mainz 05;90317;Daniel Batz;12.01.1991;33;Erlangen;Deutschland;1.91;Torwart;beidfuessig
1.FSV Mainz 05;490609;Lasse Riess;27.07.2001;23;Nieder-Olm;Deutschland;1.91;Torwart;rechts
1.FSV Mainz 05;370683;Andreas Hanche Olsen;17.01.1997;27;Bodø;Norwegen;1.85;Abwehr - Innenverteidiger;rechts
1.FSV Mainz 05;460245;Moritz Jenz;30.04.1999;25;Berlin;Deutschland/Nigeria;1.9;Abwehr - Innenverteidiger;rechts
1.FSV Mainz 05;334207;Maxim Leitsch;18.05.1998;26;Essen;Deutschland;1.89;Abwehr - Innenverteidiger;links
1.FSV Mainz 05;82350;Stefan Bell;24.08.1991;33;Andernach;Deutschland;1.92;Abwehr - Innenverteidiger;rechts
1.FSV Mainz 05;934317;Maxim Dal;26.01.2006;18;Nagold;Deutschland/Tuerkei;1.88;Abwehr - Innenverteidiger;links
1.FSV Mainz 05;127573;Phillipp Mwene;29.01.1994;30;Wien;Oesterreich/Kenia;1.7;Abwehr - Linker Verteidiger;rechts
1.FSV Mainz 05;168989;Silvan Widmer;05.03.1993;31;Aarau;Schweiz;1.83;Abwehr - Rechter Verteidiger;rechts
